"Products FAQ","Products FAQ"
"Enabled","Enabled"
"General","General"
"Product FAQ","Product FAQ"
"Manage Questions","Manage Questions"
"Manage Question Groups","Manage Question Groups"
"Add Question","Add Question"
"Nickname","Nickname"
"Question","Question"
"Answer","Answer"
"Status","Status"
"Approved","Approved"
"Pending","Pending"
"Sort Order","Sort Order"
"Store View","Store View"
"Question Group","Question Group"
"This question was originally posted on product","This question was originally posted on product"
"Products Grid","Products Grid"
"Question Information","Question Information"
"Add Group","Add Group"
"Group ID","Group ID"
"Group Name","Group Name"
"Group Description","Group Description"
"Position","Position"
"Product Questions Group","Product Questions Group"
"General Information","General Information"
"Group Information","Group Information"
"Save Question Group","Save Question Group"
"Delete Question Group","Delete Question Group"
"FAQ","FAQ"
"Question:","Question"
"Answer:","Answer"
"Ask Your Question","Ask Your Question"
"Nickname","Nickname"
"Question","Question"
"Submit Question","Submit Question"
"Manage Labels","Manage Labels"